carId,amount
7b846a08-e2cc-5721-b829-7f33d5aad991,19035.38
0db8fb75-fab4-5f86-8263-c6169cfda017,32275.94
7d807ed5-b478-58b3-9814-c8f29ecba883,45310.30
6acdeaea-3816-5afc-a61b-ce7922b8778b,8762.85
eb93ccde-f1f7-58ee-9971-c66de16a9597,5479.45
44feaddc-255c-54c8-badb-e0d04648ca28,16809.75
245010f4-37f5-582a-b942-3520c97d0d3d,30830.92
84857101-939e-5783-84af-15214f336777,45910.47
44feaddc-255c-54c8-badb-e0d04648ca28,7229.71
eb93ccde-f1f7-58ee-9971-c66de16a9597,47009.93
44feaddc-255c-54c8-badb-e0d04648ca28,26227.80
c1fce3aa-2edc-5554-b3a3-e964d229b28a,45381.62
0d069346-7dcd-5be0-9c46-764b7bedf75d,38456.05
5aff460e-3af3-5070-961b-78ed756e64ce,13997.03
