carId,amount
6461918e-bb5a-58bb-8c60-d023140634c5,5597.32
2496c194-9d4a-56e1-b4bd-90416126d6a5,42590.95
b6d10092-63e8-517c-94c5-abe0e314e9c6,26250.94
43253913-df34-5de9-bd40-88f30ecfd02b,18546.71
57b55f8c-b202-5259-ad31-aa91e40b2c68,6247.55
40ca50b4-86c6-538f-a24d-5eb56a78dd1a,7168.09
92946595-354e-5f4a-971b-ae8c1814c0a1,27073.04
e1c28f62-24dd-5fc1-8c42-3953080d431c,19282.00
43253913-df34-5de9-bd40-88f30ecfd02b,26012.64
f89983c0-22cd-5097-b27b-a7045d1df815,30656.63
c70bc8d5-c18e-53e2-861c-613b759ceb9f,23190.99
c1fce3aa-2edc-5554-b3a3-e964d229b28a,7423.08
49a63f95-c6c1-5581-b504-31c57d996847,29582.06
0ed638a2-5a3e-5c81-88ad-4b59814ab8d1,6005.19
46bdafac-22b2-58d6-a83f-c654d5d39bea,32553.76
5c124524-bed4-51cf-861e-ea510ae88b85,42220.12
b9f6874b-0a28-5a73-8f7c-67d42c2750c4,30418.30
90d464fe-9c7f-5ddb-8467-a3accdfdfabf,33364.92
4929ff91-7bc0-56ec-8aa5-663ea2aed72e,21186.02
44feaddc-255c-54c8-badb-e0d04648ca28,14195.26
3994b38f-500a-589f-bab9-e61a9d205811,36759.62
f9dd639b-63f8-5873-96ff-a6c862c96db2,20850.27
46bdafac-22b2-58d6-a83f-c654d5d39bea,26535.28
2496c194-9d4a-56e1-b4bd-90416126d6a5,21689.99
44feaddc-255c-54c8-badb-e0d04648ca28,32136.49
79754883-4d87-5664-8b95-ccda138ed3e8,28393.47
6a063a9c-23f6-5ce5-b833-06d7c1688858,20307.23
4929ff91-7bc0-56ec-8aa5-663ea2aed72e,28587.50
3b8f6f85-e920-50f4-9008-51c69e1cc28e,23360.56
c12cd464-83a6-58a8-8f45-e6488b65c51c,3675.13
44b928fe-3d8c-54dd-8166-fcbad94b8b2a,34163.06
03866168-c962-51be-a6b6-036c615efd97,37186.67
4836e7c5-22d3-5ace-852b-4d66221f7348,28156.17
3994b38f-500a-589f-bab9-e61a9d205811,3297.46
ef15f837-116d-5595-87a9-7e3518a0ab2c,46139.26
245010f4-37f5-582a-b942-3520c97d0d3d,8114.50
40ca50b4-86c6-538f-a24d-5eb56a78dd1a,22853.33
40ca50b4-86c6-538f-a24d-5eb56a78dd1a,21178.03
fcf710fc-e803-552b-92a0-461191ad2971,7972.36
4ccd334c-0bcb-594b-9530-d71a89bb1657,27058.26
fcf710fc-e803-552b-92a0-461191ad2971,28585.77
b6d10092-63e8-517c-94c5-abe0e314e9c6,7627.85
0d069346-7dcd-5be0-9c46-764b7bedf75d,31863.84
6acdeaea-3816-5afc-a61b-ce7922b8778b,33270.03
80af45d2-9066-5a72-b2fb-4b23cdba18b1,35784.68
5c22434c-bce0-5eed-bd21-85f362671f80,28593.18
20180ef8-123b-5509-90a6-3795cbcea1a4,23328.39
8b9f51aa-a161-5abc-9a67-5df6eaeb59d8,24823.55
b9f6874b-0a28-5a73-8f7c-67d42c2750c4,44336.95
7d807ed5-b478-58b3-9814-c8f29ecba883,14080.55
44feaddc-255c-54c8-badb-e0d04648ca28,39230.07
02aa1e66-b3f9-5a4d-a33b-4ae0d2f96554,40469.94
97693889-86fa-5f0f-a2e2-8355289a1ba8,18931.20
e52b7bdf-4229-51f8-a52a-01a1ddd50d8d,33287.46
0eb1f69e-0161-504b-94c3-f8926f131c3d,13469.54
6acdeaea-3816-5afc-a61b-ce7922b8778b,45045.09
b6d10092-63e8-517c-94c5-abe0e314e9c6,27392.37
6acdeaea-3816-5afc-a61b-ce7922b8778b,37623.22
5f5a16d1-9ff7-5746-9291-f23b9f854ec5,23457.88
43253913-df34-5de9-bd40-88f30ecfd02b,7893.06
15ca8f22-8687-5e31-8174-aa78f56ac0b1,39028.29
103e5a93-5208-5187-b530-828c26baba37,35096.36
6461918e-bb5a-58bb-8c60-d023140634c5,20324.58
3c11adb4-708b-57c8-9c75-c3767e523d08,39743.10
103e5a93-5208-5187-b530-828c26baba37,40602.91
15ca8f22-8687-5e31-8174-aa78f56ac0b1,39077.53
84857101-939e-5783-84af-15214f336777,28557.50
15ca8f22-8687-5e31-8174-aa78f56ac0b1,23624.86
24cbc234-0532-522c-9e35-8b84deeda367,6011.28
44feaddc-255c-54c8-badb-e0d04648ca28,40563.52
5f5a16d1-9ff7-5746-9291-f23b9f854ec5,37237.18
ec008d8b-b059-5d6d-85ec-f7494cf1d263,42887.68
49a63f95-c6c1-5581-b504-31c57d996847,9601.43
c1fce3aa-2edc-5554-b3a3-e964d229b28a,47702.83
5f1b9274-ff72-50a4-ae0b-771269bab70b,32273.67
15ca8f22-8687-5e31-8174-aa78f56ac0b1,20506.74
f89983c0-22cd-5097-b27b-a7045d1df815,14725.48
6461918e-bb5a-58bb-8c60-d023140634c5,11951.67
c459dc7c-1a4d-5d32-bf3b-46a9cb7457ca,1796.28
11f2f8a7-7e0e-55df-9e3a-78d541d06767,40633.31
c459dc7c-1a4d-5d32-bf3b-46a9cb7457ca,16396.08
c459dc7c-1a4d-5d32-bf3b-46a9cb7457ca,18716.53
