driverId,routeId,carId,timeTaken,createdAt
a8171f4a-86a9-5c5b-9705-e7875130acf3,c55948c7-a601-544d-aeaa-6c87f7285c3d,0d069346-7dcd-5be0-9c46-764b7bedf75d,1.3,1585725480000
1edafb7a-6d49-59eb-823c-f8055e55c748,3a26e6c6-d1ac-5e20-8785-2ef828f0c8f7,f0633740-65df-5599-9839-981f659641a7,0.95,1585724220000
383a1e16-fe3d-571e-b321-93ad1550a1a2,57b1fe95-6049-533f-accc-f26a5609414c,46bdafac-22b2-58d6-a83f-c654d5d39bea,1.9,1585727640000
2ba9a996-8e91-5156-98e1-8b218118a923,40915ad1-9049-5a49-bc10-0c910445ede9,eb93ccde-f1f7-58ee-9971-c66de16a9597,2,1585728000000
c98e2918-09ae-5734-9141-14287b561ec4,31ebed30-6e68-5f83-88b3-511c3acf6468,4836e7c5-22d3-5ace-852b-4d66221f7348,0.58,1585722888000
3d4844b1-ebae-55d5-a0bb-19c5f9ca606c,01e562af-5ea7-5161-b823-2c68ddaea499,08cef179-15c2-5aba-92a9-cde1e9875725,0.93,1585724148000
6ef847c3-edb6-5ed2-b8b3-b64b81bd3e24,64de46eb-8721-5798-a9a8-c041645263ef,0db8fb75-fab4-5f86-8263-c6169cfda017,0.63,1585723068000
e09927bc-83f0-50b5-bd0c-64556de38472,932ffc0a-803b-50b2-adb4-19d4b026e3e4,c47b786d-eaee-5717-8910-e10e968bacb5,1.5,1585726200000
fd00aabf-7f06-5adb-87db-f2d6934a7551,2733120f-9713-509e-a85f-38405fc2bb60,40ca50b4-86c6-538f-a24d-5eb56a78dd1a,1.8,1585727280000
a10c0cdb-bedd-5123-8cc7-5259543e3d88,2733120f-9713-509e-a85f-38405fc2bb60,20180ef8-123b-5509-90a6-3795cbcea1a4,1.2,1585725120000
52c9400d-505f-5bd5-b6a5-4aecd557370e,932ffc0a-803b-50b2-adb4-19d4b026e3e4,6a063a9c-23f6-5ce5-b833-06d7c1688858,1.1,1585724760000
249d04a7-8f6d-5c06-9e36-aaea6fd58269,367241f3-db62-5522-a1eb-df88f9309d42,44b928fe-3d8c-54dd-8166-fcbad94b8b2a,0.98,1585724328000
54eec0da-93ed-563d-87af-a52f7e769f43,40915ad1-9049-5a49-bc10-0c910445ede9,79754883-4d87-5664-8b95-ccda138ed3e8,1.9,1585727640000
d1506ee3-99f1-54ca-9ac9-3c4caf572e99,31ebed30-6e68-5f83-88b3-511c3acf6468,b9f6874b-0a28-5a73-8f7c-67d42c2750c4,1.8,1585727280000
4d8255d8-525b-5d5d-89dd-2fe304dc94b7,57b1fe95-6049-533f-accc-f26a5609414c,a500558a-80c2-51a7-87ba-732f798947ca,0.97,1585724292000
461b5d49-1f98-5235-8105-d32074e31fc6,01e562af-5ea7-5161-b823-2c68ddaea499,1c2ba9b6-1760-5afe-b383-8159c5528dd3,1.8,1585727280000
4e9cc585-1d25-52cd-8cd7-7ccc12f5811f,814e5db1-5cfe-581d-b6fa-160e01e3c751,245010f4-37f5-582a-b942-3520c97d0d3d,1.1,1585724760000
b0bc1d55-4fcf-5d6d-b96d-3cc037eaab78,367241f3-db62-5522-a1eb-df88f9309d42,7d807ed5-b478-58b3-9814-c8f29ecba883,1.2,1585725120000
328c8fe9-a8d3-5f76-ab60-33b2a1f0dfa0,01e562af-5ea7-5161-b823-2c68ddaea499,84857101-939e-5783-84af-15214f336777,1.8,1585727280000
5ac65860-fbd0-5759-9134-0be8aedbb5ef,64de46eb-8721-5798-a9a8-c041645263ef,c1fce3aa-2edc-5554-b3a3-e964d229b28a,0.65,1585723140000
24ec8bfb-65da-5930-af79-4780d7cc5c38,814e5db1-5cfe-581d-b6fa-160e01e3c751,c12cd464-83a6-58a8-8f45-e6488b65c51c,1.6,1585726560000
d7fdc37c-05b4-5336-b128-686a65a7f813,de6ab0a7-41ba-5907-869f-cdbbbf13aa74,5aff460e-3af3-5070-961b-78ed756e64ce,1.7,1585726920000
d89ed9ee-5a5b-5ba8-b65f-707f94e95ea0,57b1fe95-6049-533f-accc-f26a5609414c,7b846a08-e2cc-5721-b829-7f33d5aad991,0.98,1585724328000
1965d074-e209-5962-aeee-80ae6c61fc11,01e562af-5ea7-5161-b823-2c68ddaea499,b886582b-bac5-5f42-832f-4d382cb5ffac,1.8,1585727280000
8095dbae-842e-58d4-8cd4-8e62c9409b16,932ffc0a-803b-50b2-adb4-19d4b026e3e4,5aa68cf1-6557-524a-a369-c2feb61e05a1,0.95,1585724220000
b5fda204-36de-5513-bbba-4665d0a45723,31ebed30-6e68-5f83-88b3-511c3acf6468,44feaddc-255c-54c8-badb-e0d04648ca28,1.5,1585726200000
d35d2737-9638-5615-96a3-c5c8cb9fbef2,ef7d23c8-dd12-586e-80c7-d58cde43ef9d,6acdeaea-3816-5afc-a61b-ce7922b8778b,1.1,1585724760000
529a6f59-f307-53a4-b4fb-eee80ef62cca,3a26e6c6-d1ac-5e20-8785-2ef828f0c8f7,24cbc234-0532-522c-9e35-8b84deeda367,1.6,1585726560000
f89febc5-aaf9-5b3d-bd50-5b23716814bf,932ffc0a-803b-50b2-adb4-19d4b026e3e4,5c124524-bed4-51cf-861e-ea510ae88b85,1.4,1585725840000
